freq_hz,delta_db_raw,delta_db_smooth
6.796875000000000000e+02,-3.528673171997070312e+00,-5.527926445007324219e+00
6.855468750000000000e+02,-2.995903015136718750e+00,-5.547523021697998047e+00
6.914062500000000000e+02,-3.777471542358398438e+00,-5.587598323822021484e+00
6.972656250000000000e+02,-5.268068313598632812e+00,-5.625321388244628906e+00
7.031250000000000000e+02,-7.916748046875000000e+00,-5.656467437744140625e+00
7.089843750000000000e+02,-9.789949417114257812e+00,-5.683759212493896484e+00
7.148437500000000000e+02,-9.016616821289062500e+00,-5.705201148986816406e+00
7.207031250000000000e+02,-6.431631088256835938e+00,-5.706922531127929688e+00
7.265625000000000000e+02,-4.585660934448242188e+00,-5.675458908081054688e+00
7.324218750000000000e+02,-4.088302612304687500e+00,-5.607488632202148438e+00
7.382812500000000000e+02,-4.180480957031250000e+00,-5.529675483703613281e+00
7.441406250000000000e+02,-4.538961410522460938e+00,-5.472414493560791016e+00
7.500000000000000000e+02,-4.774347305297851562e+00,-5.451166152954101562e+00
7.558593750000000000e+02,-5.065797805786132812e+00,-5.469784259796142578e+00
7.617187500000000000e+02,-5.674137115478515625e+00,-5.507847309112548828e+00
7.675781250000000000e+02,-5.841953277587890625e+00,-5.547769546508789062e+00
7.734375000000000000e+02,-6.192405700683593750e+00,-5.573915958404541016e+00
7.792968750000000000e+02,-5.948839187622070312e+00,-5.579640865325927734e+00
7.851562500000000000e+02,-6.145053863525390625e+00,-5.577733993530273438e+00
7.910156250000000000e+02,-6.278707504272460938e+00,-5.575246334075927734e+00
7.968750000000000000e+02,-6.185796737670898438e+00,-5.574191570281982422e+00
8.027343750000000000e+02,-5.648826599121093750e+00,-5.585967540740966797e+00
8.085937500000000000e+02,-5.137313842773437500e+00,-5.589192867279052734e+00
8.144531250000000000e+02,-4.609384536743164062e+00,-5.586520195007324219e+00
8.203125000000000000e+02,-4.865158081054687500e+00,-5.571762084960937500e+00
8.261718750000000000e+02,-5.729864120483398438e+00,-5.545560836791992188e+00
8.320312500000000000e+02,-6.250335693359375000e+00,-5.522164344787597656e+00
8.378906250000000000e+02,-6.144559860229492188e+00,-5.513525962829589844e+00
8.437500000000000000e+02,-5.558734893798828125e+00,-5.516263484954833984e+00
8.496093750000000000e+02,-5.308595657348632812e+00,-5.496703147888183594e+00
8.554687500000000000e+02,-5.285499572753906250e+00,-5.450734138488769531e+00
8.613281250000000000e+02,-5.471235275268554688e+00,-5.386280059814453125e+00
8.671875000000000000e+02,-6.168090820312500000e+00,-5.346009254455566406e+00
8.730468750000000000e+02,-6.741785049438476562e+00,-5.342254638671875000e+00
8.789062500000000000e+02,-6.892335891723632812e+00,-5.343535423278808594e+00
8.847656250000000000e+02,-6.568019866943359375e+00,-5.345921039581298828e+00
8.906250000000000000e+02,-6.496591567993164062e+00,-5.323857784271240234e+00
8.964843750000000000e+02,-5.378887176513671875e+00,-5.261784076690673828e+00
9.023437500000000000e+02,-4.470611572265625000e+00,-5.194911479949951172e+00
9.082031250000000000e+02,-3.500123977661132812e+00,-5.160606861114501953e+00
9.140625000000000000e+02,-3.143167495727539062e+00,-5.189950466156005859e+00
9.199218750000000000e+02,-3.054132461547851562e+00,-5.264636993408203125e+00
9.257812500000000000e+02,-3.294654846191406250e+00,-5.336154460906982422e+00
9.316406250000000000e+02,-4.243543624877929688e+00,-5.360955715179443359e+00
9.375000000000000000e+02,-5.983898162841796875e+00,-5.344016551971435547e+00
9.433593750000000000e+02,-7.093870162963867188e+00,-5.308840274810791016e+00
9.492187500000000000e+02,-7.459386825561523438e+00,-5.261576652526855469e+00
9.550781250000000000e+02,-6.566310882568359375e+00,-5.207298278808593750e+00
9.609375000000000000e+02,-5.225717544555664062e+00,-5.147010326385498047e+00
9.667968750000000000e+02,-4.032842636108398438e+00,-5.066168785095214844e+00
9.726562500000000000e+02,-3.363592147827148438e+00,-5.000872135162353516e+00
9.785156250000000000e+02,-3.628417968750000000e+00,-4.918325424194335938e+00
9.843750000000000000e+02,-4.203433990478515625e+00,-4.857832908630371094e+00
9.902343750000000000e+02,-4.324329376220703125e+00,-4.823551654815673828e+00
9.960937500000000000e+02,-4.351406097412109375e+00,-4.815268993377685547e+00
1.001953125000000000e+03,-4.961780548095703125e+00,-4.838696956634521484e+00
1.007812500000000000e+03,-4.979249954223632812e+00,-4.873243808746337891e+00
1.013671875000000000e+03,-5.005290985107421875e+00,-4.897964954376220703e+00
1.019531250000000000e+03,-4.795349121093750000e+00,-4.908856868743896484e+00
1.025390625000000000e+03,-4.754714965820312500e+00,-4.889751911163330078e+00
1.031250000000000000e+03,-4.762659072875976562e+00,-4.857101917266845703e+00
1.037109375000000000e+03,-5.148221969604492188e+00,-4.829738616943359375e+00
1.042968750000000000e+03,-4.966518402099609375e+00,-4.807919025421142578e+00
1.048828125000000000e+03,-5.346864700317382812e+00,-4.792445659637451172e+00
1.054687500000000000e+03,-5.985584259033203125e+00,-4.758768081665039062e+00
1.060546875000000000e+03,-7.200611114501953125e+00,-4.713731765747070312e+00
1.066406250000000000e+03,-7.428215026855468750e+00,-4.680934906005859375e+00
1.072265625000000000e+03,-6.450199127197265625e+00,-4.652544975280761719e+00
1.078125000000000000e+03,-5.065673828125000000e+00,-4.648084163665771484e+00
1.083984375000000000e+03,-3.853166580200195312e+00,-4.657486438751220703e+00
1.089843750000000000e+03,-3.095037460327148438e+00,-4.668712139129638672e+00
1.095703125000000000e+03,-3.082553863525390625e+00,-4.662646293640136719e+00
1.101562500000000000e+03,-3.892372131347656250e+00,-4.656895637512207031e+00
1.107421875000000000e+03,-4.464311599731445312e+00,-4.631359577178955078e+00
1.113281250000000000e+03,-4.155654907226562500e+00,-4.592582702636718750e+00
1.119140625000000000e+03,-3.784679412841796875e+00,-4.529608249664306641e+00
1.125000000000000000e+03,-3.813297271728515625e+00,-4.456876277923583984e+00
1.130859375000000000e+03,-3.573200225830078125e+00,-4.363394737243652344e+00
1.136718750000000000e+03,-3.330001831054687500e+00,-4.270168781280517578e+00
1.142578125000000000e+03,-3.270046234130859375e+00,-4.196720123291015625e+00
1.148437500000000000e+03,-3.285705566406250000e+00,-4.169782161712646484e+00
1.154296875000000000e+03,-3.598094940185546875e+00,-4.182575225830078125e+00
1.160156250000000000e+03,-4.023071289062500000e+00,-4.212787151336669922e+00
1.166015625000000000e+03,-4.376008987426757812e+00,-4.237259387969970703e+00
1.171875000000000000e+03,-5.623243331909179688e+00,-4.234790802001953125e+00
1.177734375000000000e+03,-5.631452560424804688e+00,-4.202252864837646484e+00
1.183593750000000000e+03,-6.892433166503906250e+00,-4.150449752807617188e+00
1.189453125000000000e+03,-6.578197479248046875e+00,-4.091982841491699219e+00
1.195312500000000000e+03,-5.372646331787109375e+00,-4.024209499359130859e+00
1.201171875000000000e+03,-4.467422485351562500e+00,-3.937503099441528320e+00
1.207031250000000000e+03,-3.099790573120117188e+00,-3.832395315170288086e+00
