frame_idx,time_sec,level_dbfs,state
1,0.0,-51.290138244628906,C1
2,0.042666666666666665,-52.01648712158203,C1
3,0.08533333333333333,-50.80851745605469,C1
4,0.128,-50.01176452636719,C1
5,0.17066666666666666,-49.34687042236328,C1
6,0.21333333333333335,-48.743621826171875,C1
7,0.256,-48.86365509033203,C1
8,0.2986666666666667,-49.477783203125,C1
9,0.3413333333333333,-49.858497619628906,C1
10,0.384,-48.9085693359375,C1
11,0.4266666666666667,-49.292762756347656,C1
12,0.4693333333333333,-51.49596405029297,C1
13,0.512,-50.829566955566406,C1
14,0.5546666666666666,-43.272098541259766,C1
15,0.5973333333333334,-33.610416412353516,C1
16,0.64,-22.047340393066406,C2
17,0.6826666666666666,-17.058551788330078,C2
18,0.7253333333333334,-15.131597518920898,C2
19,0.768,-14.281980514526367,C2
20,0.8106666666666666,-13.822589874267578,C2
21,0.8533333333333334,-14.016313552856445,C2
22,0.896,-14.960315704345703,C2
23,0.9386666666666666,-16.36363983154297,C2
24,0.9813333333333333,-16.403064727783203,C2
25,1.024,-15.680686950683594,C2
26,1.0666666666666667,-15.705062866210938,C2
27,1.1093333333333333,-15.567611694335938,C2
28,1.152,-14.809415817260742,C2
29,1.1946666666666668,-14.897480964660645,C2
30,1.2373333333333334,-16.220932006835938,C2
31,1.28,-18.293237686157227,C2
32,1.3226666666666667,-20.726985931396484,C2
33,1.3653333333333333,-21.80272674560547,C2
34,1.408,-19.31066131591797,C2
35,1.4506666666666668,-18.392444610595703,C2
36,1.4933333333333334,-15.180255889892578,C2
37,1.536,-13.524076461791992,C2
38,1.5786666666666667,-14.26443099975586,C2
39,1.6213333333333333,-14.719244003295898,C2
40,1.664,-15.436321258544922,C2
41,1.7066666666666668,-16.30585289001465,C2
42,1.7493333333333334,-16.884347915649414,C2
43,1.792,-17.714385986328125,C2
44,1.8346666666666667,-18.88126564025879,C2
45,1.8773333333333333,-19.70004653930664,C2
46,1.92,-17.875991821289062,C2
47,1.9626666666666666,-15.453043937683105,C2
48,2.005333333333333,-14.913766860961914,C2
49,2.048,-15.413542747497559,C2
50,2.0906666666666665,-16.028106689453125,C2
51,2.1333333333333333,-16.896224975585938,C2
52,2.176,-18.0479736328125,C2
53,2.2186666666666666,-19.285451889038086,C2
54,2.2613333333333334,-19.44898796081543,C2
55,2.304,-17.356842041015625,C2
56,2.3466666666666667,-15.187711715698242,C2
57,2.3893333333333335,-14.449613571166992,C2
58,2.432,-14.77008056640625,C2
59,2.474666666666667,-16.259319305419922,C2
60,2.517333333333333,-17.98239517211914,C2
61,2.56,-17.999168395996094,C2
62,2.6026666666666665,-17.841506958007812,C2
63,2.6453333333333333,-18.751758575439453,C2
64,2.688,-18.274564743041992,C2
65,2.7306666666666666,-15.427590370178223,C2
66,2.7733333333333334,-14.623514175415039,C2
67,2.816,-15.53092098236084,C2
68,2.8586666666666667,-16.272216796875,C2
69,2.9013333333333335,-17.322410583496094,C2
70,2.944,-19.721403121948242,C2
71,2.986666666666667,-23.186452865600586,C2
72,3.029333333333333,-25.14329719543457,C2
73,3.072,-25.29395294189453,C2
74,3.1146666666666665,-24.660938262939453,C2
75,3.1573333333333333,-25.403152465820312,C2
76,3.2,-28.183246612548828,C1
77,3.2426666666666666,-32.92472457885742,C1
78,3.2853333333333334,-35.11576843261719,C1
79,3.328,-35.19877243041992,C1
80,3.3706666666666667,-33.13703918457031,C1
81,3.4133333333333336,-28.68243408203125,C1
82,3.456,-23.596912384033203,C1
83,3.498666666666667,-20.829551696777344,C2
84,3.541333333333333,-20.042301177978516,C2
85,3.584,-18.08346939086914,C2
86,3.6266666666666665,-17.72888946533203,C2
87,3.6693333333333333,-20.447980880737305,C2
88,3.712,-23.006580352783203,C2
89,3.7546666666666666,-23.939899444580078,C2
90,3.7973333333333334,-25.64575958251953,C2
91,3.84,-25.447288513183594,C2
92,3.8826666666666667,-21.778438568115234,C2
93,3.925333333333333,-16.128887176513672,C2
94,3.968,-13.462519645690918,C2
95,4.010666666666666,-14.507726669311523,C2
96,4.053333333333334,-18.812477111816406,C2
97,4.096,-22.958999633789062,C2
98,4.1386666666666665,-23.775651931762695,C2
99,4.181333333333333,-23.067970275878906,C2
100,4.224,-21.15787696838379,C2
101,4.266666666666667,-19.380550384521484,C2
102,4.309333333333333,-19.35244369506836,C2
103,4.352,-18.408424377441406,C2
104,4.394666666666667,-16.536529541015625,C2
105,4.437333333333333,-16.946483612060547,C2
106,4.48,-20.378019332885742,C2
107,4.522666666666667,-25.87608528137207,C1
108,4.565333333333333,-27.690160751342773,C1
109,4.608,-24.451539993286133,C1
110,4.650666666666667,-20.73709487915039,C2
111,4.693333333333333,-19.371665954589844,C2
112,4.736,-16.17007827758789,C2
113,4.778666666666667,-16.00771713256836,C2
114,4.8213333333333335,-19.524309158325195,C2
115,4.864,-21.339693069458008,C2
116,4.906666666666666,-23.347007751464844,C2
117,4.949333333333334,-24.490650177001953,C2
118,4.992,-21.094005584716797,C2
119,5.034666666666666,-19.465482711791992,C2
120,5.077333333333334,-19.097015380859375,C2
121,5.12,-16.97897720336914,C2
122,5.1626666666666665,-17.2733154296875,C2
123,5.205333333333333,-21.52083969116211,C2
124,5.248,-25.240781784057617,C2
125,5.290666666666667,-25.008867263793945,C2
126,5.333333333333333,-25.916297912597656,C1
127,5.376,-22.33648109436035,C2
128,5.418666666666667,-20.70286750793457,C2
129,5.461333333333333,-19.755598068237305,C2
130,5.504,-17.992143630981445,C2
131,5.546666666666667,-18.347393035888672,C2
132,5.589333333333333,-18.21637725830078,C2
133,5.632,-18.276988983154297,C2
134,5.674666666666667,-20.655929565429688,C2
135,5.717333333333333,-22.371177673339844,C2
136,5.76,-23.711139678955078,C2
137,5.802666666666667,-25.613483428955078,C2
138,5.8453333333333335,-23.68215560913086,C2
139,5.888,-19.416955947875977,C2
140,5.930666666666666,-17.60759925842285,C2
141,5.973333333333334,-17.88041877746582,C2
142,6.016,-20.10407257080078,C2
143,6.058666666666666,-23.269994735717773,C2
144,6.101333333333334,-23.31658363342285,C2
145,6.144,-22.84988784790039,C2
146,6.1866666666666665,-22.54474449157715,C2
147,6.229333333333333,-22.991334915161133,C2
148,6.272,-22.501693725585938,C2
149,6.314666666666667,-21.950305938720703,C2
150,6.357333333333333,-22.580699920654297,C2
151,6.4,-23.703041076660156,C2
152,6.442666666666667,-26.220558166503906,C1
153,6.485333333333333,-28.038856506347656,C1
154,6.528,-28.72249412536621,C1
155,6.570666666666667,-30.908042907714844,C1
156,6.613333333333333,-33.1193962097168,C1
157,6.656,-32.06227111816406,C1
158,6.698666666666667,-26.931129455566406,C1
159,6.741333333333333,-24.3370418548584,C1
160,6.784,-24.213577270507812,C1
161,6.826666666666667,-26.05682373046875,C1
162,6.8693333333333335,-29.846431732177734,C1
163,6.912,-33.642948150634766,C1
164,6.954666666666666,-33.98910140991211,C1
165,6.997333333333334,-31.926219940185547,C1
166,7.04,-32.07358169555664,C1
167,7.082666666666666,-30.289297103881836,C1
168,7.125333333333334,-25.42974281311035,C1
169,7.168,-24.47180938720703,C1
170,7.210666666666667,-25.67039680480957,C1
171,7.253333333333333,-27.06684112548828,C1
172,7.296,-29.380311965942383,C1
173,7.338666666666667,-29.44622039794922,C1
174,7.381333333333333,-28.74591636657715,C1
175,7.424,-29.827585220336914,C1
176,7.466666666666667,-28.201181411743164,C1
177,7.509333333333333,-26.96860122680664,C1
178,7.552,-27.855093002319336,C1
179,7.594666666666667,-28.374317169189453,C1
180,7.637333333333333,-29.50800323486328,C1
181,7.68,-30.02199935913086,C1
182,7.722666666666667,-29.36483383178711,C1
183,7.765333333333333,-30.14838981628418,C1
184,7.808,-29.962360382080078,C1
185,7.850666666666666,-29.98457145690918,C1
186,7.8933333333333335,-30.630149841308594,C1
187,7.936,-30.062246322631836,C1
188,7.978666666666666,-28.536317825317383,C1
189,8.021333333333333,-27.450000762939453,C1
190,8.064,-26.961509704589844,C1
191,8.106666666666667,-27.494857788085938,C1
192,8.149333333333333,-27.63089370727539,C1
193,8.192,-25.851974487304688,C1
194,8.234666666666667,-25.482341766357422,C1
195,8.277333333333333,-28.01123809814453,C1
196,8.32,-30.12873077392578,C1
197,8.362666666666666,-28.021820068359375,C1
198,8.405333333333333,-28.14934730529785,C1
199,8.448,-28.33428955078125,C1
200,8.490666666666666,-28.231510162353516,C1
201,8.533333333333333,-28.825397491455078,C1
202,8.576,-28.873146057128906,C1
203,8.618666666666666,-29.238502502441406,C1
204,8.661333333333333,-29.213857650756836,C1
205,8.704,-27.796428680419922,C1
206,8.746666666666666,-25.23513412475586,C1
207,8.789333333333333,-24.478824615478516,C1
208,8.832,-25.35303497314453,C1
209,8.874666666666666,-25.53247833251953,C1
210,8.917333333333334,-25.15943717956543,C1
211,8.96,-25.552188873291016,C1
212,9.002666666666666,-26.471654891967773,C1
213,9.045333333333334,-26.752246856689453,C1
214,9.088,-26.922758102416992,C1
215,9.130666666666666,-25.221691131591797,C1
216,9.173333333333334,-24.287845611572266,C1
217,9.216,-24.798791885375977,C1
218,9.258666666666667,-25.990680694580078,C1
219,9.301333333333334,-26.892614364624023,C1
220,9.344,-26.73360824584961,C1
221,9.386666666666667,-26.558626174926758,C1
222,9.429333333333334,-27.096519470214844,C1
223,9.472,-28.30925178527832,C1
224,9.514666666666667,-27.087203979492188,C1
225,9.557333333333334,-25.1895809173584,C1
226,9.6,-23.182878494262695,C1
227,9.642666666666667,-22.569799423217773,C2
228,9.685333333333332,-23.550701141357422,C2
229,9.728,-25.685325622558594,C2
230,9.770666666666667,-27.436628341674805,C1
231,9.813333333333333,-26.99385643005371,C1
232,9.856,-25.898513793945312,C1
233,9.898666666666667,-25.223468780517578,C1
234,9.941333333333333,-23.38343048095703,C1
235,9.984,-22.616241455078125,C2
236,10.026666666666667,-23.864667892456055,C2
237,10.069333333333333,-24.152835845947266,C2
238,10.112,-24.513511657714844,C2
239,10.154666666666667,-25.79422378540039,C2
240,10.197333333333333,-26.777313232421875,C1
241,10.24,-27.31637954711914,C1
242,10.282666666666668,-27.694063186645508,C1
243,10.325333333333333,-23.08667755126953,C1
244,10.368,-20.4719181060791,C2
245,10.410666666666666,-19.411848068237305,C2
246,10.453333333333333,-18.409549713134766,C2
247,10.496,-19.017702102661133,C2
248,10.538666666666666,-20.843496322631836,C2
249,10.581333333333333,-22.159687042236328,C2
250,10.624,-22.701324462890625,C2
251,10.666666666666666,-22.516883850097656,C2
252,10.709333333333333,-23.138391494750977,C2
253,10.752,-23.918254852294922,C2
254,10.794666666666666,-23.325929641723633,C2
255,10.837333333333333,-23.032052993774414,C2
256,10.88,-23.473939895629883,C2
257,10.922666666666666,-24.11597442626953,C2
258,10.965333333333334,-25.12894058227539,C2
259,11.008,-25.32719612121582,C2
260,11.050666666666666,-25.586206436157227,C2
261,11.093333333333334,-26.611957550048828,C1
262,11.136,-23.852388381958008,C1
263,11.178666666666667,-21.871421813964844,C2
264,11.221333333333334,-20.810697555541992,C2
265,11.264,-20.490543365478516,C2
266,11.306666666666667,-20.565757751464844,C2
267,11.349333333333334,-20.06991195678711,C2
268,11.392,-18.751148223876953,C2
269,11.434666666666667,-17.004377365112305,C2
270,11.477333333333334,-16.581199645996094,C2
271,11.52,-18.87986183166504,C2
272,11.562666666666667,-22.719545364379883,C2
273,11.605333333333334,-23.075763702392578,C2
274,11.648,-23.363401412963867,C2
275,11.690666666666667,-23.282888412475586,C2
276,11.733333333333333,-24.039913177490234,C2
277,11.776,-25.675071716308594,C2
278,11.818666666666667,-26.093263626098633,C1
279,11.861333333333333,-25.270164489746094,C1
280,11.904,-24.024761199951172,C1
281,11.946666666666667,-22.186080932617188,C2
282,11.989333333333333,-21.230295181274414,C2
283,12.032,-20.00629234313965,C2
284,12.074666666666667,-18.611141204833984,C2
285,12.117333333333333,-18.396121978759766,C2
286,12.16,-18.91376304626465,C2
287,12.202666666666667,-19.18501853942871,C2
288,12.245333333333333,-18.173009872436523,C2
289,12.288,-18.73650360107422,C2
290,12.330666666666668,-21.95417594909668,C2
291,12.373333333333333,-23.300212860107422,C2
292,12.416,-22.952299118041992,C2
293,12.458666666666666,-23.049713134765625,C2
294,12.501333333333333,-22.433889389038086,C2
295,12.544,-22.76168441772461,C2
296,12.586666666666666,-24.056074142456055,C2
297,12.629333333333333,-23.648239135742188,C2
298,12.672,-23.76624870300293,C2
299,12.714666666666666,-23.801185607910156,C2
300,12.757333333333333,-22.201051712036133,C2
301,12.8,-21.233226776123047,C2
302,12.842666666666666,-20.815505981445312,C2
303,12.885333333333334,-20.903051376342773,C2
304,12.928,-22.467538833618164,C2
305,12.970666666666666,-23.785499572753906,C2
306,13.013333333333334,-22.097204208374023,C2
307,13.056,-21.884788513183594,C2
308,13.098666666666666,-23.229267120361328,C2
309,13.141333333333334,-21.302566528320312,C2
310,13.184,-19.658964157104492,C2
311,13.226666666666667,-20.054960250854492,C2
312,13.269333333333334,-21.649192810058594,C2
313,13.312,-23.387039184570312,C2
314,13.354666666666667,-24.20323944091797,C2
315,13.397333333333334,-24.867094039916992,C2
316,13.44,-24.648250579833984,C2
317,13.482666666666667,-24.758508682250977,C2
318,13.525333333333334,-20.302722930908203,C2
319,13.568,-15.04347038269043,C2
320,13.610666666666667,-13.715590476989746,C2
321,13.653333333333334,-14.443807601928711,C2
322,13.696,-15.189058303833008,C2
323,13.738666666666667,-16.134706497192383,C2
324,13.781333333333333,-17.673114776611328,C2
325,13.824,-18.99582290649414,C2
326,13.866666666666667,-19.08983039855957,C2
327,13.909333333333333,-19.2965030670166,C2
328,13.952,-19.409778594970703,C2
329,13.994666666666667,-15.389481544494629,C2
330,14.037333333333333,-14.207357406616211,C2
331,14.08,-16.799192428588867,C2
332,14.122666666666667,-19.632822036743164,C2
333,14.165333333333333,-21.444034576416016,C2
334,14.208,-21.650386810302734,C2
335,14.250666666666667,-19.559534072875977,C2
336,14.293333333333333,-17.287220001220703,C2
337,14.336,-17.336631774902344,C2
338,14.378666666666666,-17.279945373535156,C2
339,14.421333333333333,-17.31268310546875,C2
340,14.464,-17.702392578125,C2
341,14.506666666666666,-18.20928192138672,C2
342,14.549333333333333,-20.874107360839844,C2
343,14.592,-19.953826904296875,C2
344,14.634666666666666,-19.043781280517578,C2
345,14.677333333333333,-19.75556182861328,C2
346,14.72,-20.08702850341797,C2
347,14.762666666666666,-16.898658752441406,C2
348,14.805333333333333,-13.778363227844238,C2
349,14.848,-13.497102737426758,C2
350,14.890666666666666,-16.093576431274414,C2
351,14.933333333333334,-19.407005310058594,C2
352,14.976,-20.93710708618164,C2
353,15.018666666666666,-22.33700942993164,C2
354,15.061333333333334,-23.045574188232422,C2
355,15.104,-23.373027801513672,C2
356,15.146666666666667,-19.199552536010742,C2
357,15.189333333333334,-16.053157806396484,C2
358,15.232,-15.490789413452148,C2
359,15.274666666666667,-15.078147888183594,C2
360,15.317333333333334,-14.456045150756836,C2
361,15.36,-15.559368133544922,C2
362,15.402666666666667,-17.863176345825195,C2
363,15.445333333333334,-18.50359344482422,C2
364,15.488,-18.63713836669922,C2
365,15.530666666666667,-18.6133975982666,C2
366,15.573333333333334,-16.667661666870117,C2
367,15.616,-15.408317565917969,C2
368,15.658666666666667,-15.469734191894531,C2
369,15.701333333333332,-16.299354553222656,C2
370,15.744,-17.59330940246582,C2
371,15.786666666666667,-18.21609115600586,C2
372,15.829333333333333,-18.19132423400879,C2
373,15.872,-17.838781356811523,C2
374,15.914666666666667,-17.701496124267578,C2
375,15.957333333333333,-18.22968292236328,C2
376,16.0,-17.30372428894043,C2
377,16.042666666666666,-15.97681999206543,C2
378,16.085333333333335,-15.06786823272705,C2
379,16.128,-15.190596580505371,C2
380,16.170666666666666,-17.006601333618164,C2
381,16.213333333333335,-18.6947021484375,C2
382,16.256,-19.298355102539062,C2
383,16.298666666666666,-19.702938079833984,C2
384,16.341333333333335,-19.097087860107422,C2
385,16.384,-16.03671646118164,C2
386,16.426666666666666,-14.498754501342773,C2
387,16.469333333333335,-14.846702575683594,C2
388,16.512,-16.062618255615234,C2
389,16.554666666666666,-17.63714599609375,C2
390,16.597333333333335,-17.63747787475586,C2
391,16.64,-18.152406692504883,C2
392,16.682666666666666,-20.143468856811523,C2
393,16.72533333333333,-19.764259338378906,C2
394,16.768,-15.54268741607666,C2
395,16.810666666666666,-13.266517639160156,C2
396,16.85333333333333,-13.180368423461914,C2
397,16.896,-13.891295433044434,C2
398,16.938666666666666,-14.725469589233398,C2
399,16.981333333333332,-15.640124320983887,C2
400,17.024,-16.61033821105957,C2
401,17.066666666666666,-17.72332000732422,C2
402,17.109333333333332,-18.646522521972656,C2
403,17.152,-17.435941696166992,C2
404,17.194666666666667,-15.300431251525879,C2
405,17.237333333333332,-13.622766494750977,C2
406,17.28,-13.411956787109375,C2
407,17.322666666666667,-14.765588760375977,C2
408,17.365333333333332,-16.514846801757812,C2
409,17.408,-17.223060607910156,C2
410,17.450666666666667,-17.174070358276367,C2
411,17.493333333333332,-18.50156021118164,C2
412,17.536,-20.505294799804688,C2
413,17.578666666666667,-17.555734634399414,C2
414,17.621333333333332,-15.210237503051758,C2
415,17.664,-15.456725120544434,C2
416,17.706666666666667,-17.00617218017578,C2
417,17.749333333333333,-18.744384765625,C2
418,17.792,-20.684959411621094,C2
419,17.834666666666667,-22.741127014160156,C2
420,17.877333333333333,-23.888242721557617,C2
421,17.92,-23.965686798095703,C2
422,17.962666666666667,-21.014921188354492,C2
423,18.005333333333333,-18.120628356933594,C2
424,18.048,-16.969646453857422,C2
425,18.090666666666667,-17.139301300048828,C2
426,18.133333333333333,-18.737276077270508,C2
427,18.176,-21.586841583251953,C2
428,18.218666666666667,-23.84425926208496,C2
429,18.261333333333333,-25.074338912963867,C2
430,18.304,-26.253341674804688,C1
431,18.346666666666668,-25.43255615234375,C1
432,18.389333333333333,-23.1306095123291,C1
433,18.432,-20.56829071044922,C2
434,18.474666666666668,-19.665395736694336,C2
435,18.517333333333333,-19.127079010009766,C2
436,18.56,-18.045310974121094,C2
437,18.602666666666668,-17.47886848449707,C2
438,18.645333333333333,-18.110937118530273,C2
439,18.688,-19.030963897705078,C2
440,18.730666666666668,-20.043304443359375,C2
441,18.773333333333333,-21.810192108154297,C2
442,18.816,-22.030227661132812,C2
443,18.858666666666668,-21.158525466918945,C2
444,18.901333333333334,-21.070621490478516,C2
445,18.944,-22.458162307739258,C2
446,18.986666666666668,-23.533859252929688,C2
447,19.029333333333334,-24.53805160522461,C2
448,19.072,-26.292417526245117,C1
449,19.11466666666667,-28.41761016845703,C1
450,19.157333333333334,-31.043048858642578,C1
451,19.2,-32.301353454589844,C1
452,19.24266666666667,-30.714920043945312,C1
453,19.285333333333334,-29.327869415283203,C1
454,19.328,-30.160463333129883,C1
455,19.370666666666665,-31.107040405273438,C1
456,19.413333333333334,-32.73462677001953,C1
457,19.456,-37.88428497314453,C1
458,19.498666666666665,-40.279937744140625,C1
459,19.541333333333334,-40.2938117980957,C1
460,19.584,-41.32087326049805,C1
461,19.626666666666665,-34.87401580810547,C1
462,19.669333333333334,-29.802284240722656,C1
463,19.712,-29.215791702270508,C1
464,19.754666666666665,-32.51593017578125,C1
465,19.797333333333334,-36.994937896728516,C1
466,19.84,-37.13177490234375,C1
467,19.882666666666665,-37.39726638793945,C1
468,19.925333333333334,-38.273746490478516,C1
469,19.968,-39.2485237121582,C1
470,20.010666666666665,-38.387176513671875,C1
471,20.053333333333335,-32.129005432128906,C1
472,20.096,-27.693050384521484,C1
473,20.138666666666666,-25.565366744995117,C1
474,20.181333333333335,-25.28515625,C1
475,20.224,-26.392131805419922,C1
476,20.266666666666666,-28.18669891357422,C1
477,20.309333333333335,-28.670543670654297,C1
478,20.352,-28.59673309326172,C1
479,20.394666666666666,-30.2158145904541,C1
480,20.437333333333335,-32.35405349731445,C1
481,20.48,-28.766939163208008,C1
482,20.522666666666666,-26.762645721435547,C1
483,20.565333333333335,-27.16273307800293,C1
484,20.608,-27.428131103515625,C1
485,20.650666666666666,-27.49204444885254,C1
486,20.69333333333333,-27.59361457824707,C1
487,20.736,-26.100608825683594,C1
488,20.778666666666666,-24.537067413330078,C1
489,20.82133333333333,-23.6666316986084,C1
490,20.864,-24.860265731811523,C1
