start_sample,end_sample,start_sec,end_sec,len_samples
1310529,1310674,27.3026875,27.30570833333333,145
2604552,2604706,54.2615,54.26470833333333,154
4882504,4882802,101.71883333333334,101.72504166666667,298
4883118,4883263,101.731625,101.73464583333333,145
6559394,6559540,136.65404166666667,136.65708333333333,146
6641158,6641315,138.35745833333334,138.36072916666666,157
6730923,6731073,140.2275625,140.2306875,150
6786924,6787069,141.39425,141.39727083333332,145
6870534,6870906,143.136125,143.143875,372
7350239,7350525,153.12997916666666,153.1359375,286
7704315,7704482,160.5065625,160.51004166666667,167
8011547,8011692,166.90722916666667,166.91025,145
8015001,8015288,166.9791875,166.98516666666666,287
8018580,8018917,167.05375,167.06077083333332,337
8019193,8019376,167.06652083333333,167.07033333333334,183
8020070,8020402,167.08479166666666,167.09170833333334,332
8023106,8023289,167.14804166666667,167.15185416666668,183
8029350,8029570,167.278125,167.28270833333335,220
8038672,8038892,167.47233333333332,167.47691666666665,220
8323083,8323278,173.3975625,173.401625,195
8326084,8326230,173.46008333333333,173.463125,146
8328430,8328575,173.50895833333334,173.51197916666666,145
8328610,8328804,173.51270833333334,173.51675,194
8337961,8338157,173.70752083333332,173.71160416666666,196
8338524,8338669,173.71925,173.72227083333334,145
8338985,8339181,173.72885416666668,173.7329375,196
8343968,8344164,173.83266666666665,173.83675,196
8353675,8353925,174.03489583333334,174.04010416666668,250
8356767,8356913,174.0993125,174.10235416666666,146
8359974,8360119,174.166125,174.16914583333335,145
8363091,8363236,174.2310625,174.23408333333333,145
8574011,8574224,178.62522916666666,178.62966666666668,213
8575600,8575948,178.65833333333333,178.66558333333333,348
8576073,8576365,178.6681875,178.67427083333334,292
8598518,8598663,179.13579166666668,179.1388125,145
8665577,8665722,180.53285416666668,180.535875,145
8691163,8691312,181.06589583333334,181.069,149
8735174,8735324,181.98279166666666,181.98591666666667,150
8839847,8839992,184.16347916666666,184.1665,145
8840840,8841052,184.18416666666667,184.18858333333333,212
8938269,8938414,186.2139375,186.21695833333334,145
9636174,9636319,200.753625,200.75664583333332,145
9649875,9650021,201.0390625,201.04210416666666,146
9993404,9993786,208.19591666666668,208.203875,382
9996741,9997037,208.2654375,208.27160416666666,296
9997194,9997339,208.274875,208.27789583333333,145
10004583,10004880,208.4288125,208.435,297
10013317,10013541,208.61077083333333,208.6154375,224
10144938,10145083,211.352875,211.35589583333334,145
10146666,10146929,211.388875,211.39435416666666,263
10782622,10782868,224.63795833333333,224.64308333333332,246
10782925,10783077,224.64427083333334,224.6474375,152
11358977,11359237,236.64535416666666,236.65077083333333,260
11360351,11360554,236.67397916666667,236.67820833333334,203
11365111,11365375,236.77314583333333,236.77864583333334,264
11365469,11365793,236.78060416666668,236.78735416666666,324
11365828,11366092,236.78808333333333,236.79358333333334,264
11366126,11366450,236.79429166666668,236.80104166666666,324
11366664,11366929,236.8055,236.81102083333334,265
11368039,11368184,236.83414583333334,236.83716666666666,145
11371681,11372005,236.91002083333333,236.91677083333335,324
11373165,11373310,236.9409375,236.94395833333334,145
11373404,11373609,236.94591666666668,236.9501875,205
11374481,11374748,236.96835416666667,236.97391666666667,267
11374908,11375053,236.97725,236.98027083333332,145
11375152,11375358,236.98233333333334,236.986625,206
11383216,11383362,237.15033333333332,237.153375,146
11409896,11410041,237.70616666666666,237.7091875,145
11456332,11456477,238.67358333333334,238.67660416666666,145
11563029,11563174,240.8964375,240.89945833333334,145
11576486,11576684,241.17679166666667,241.18091666666666,198
11601161,11601357,241.69085416666667,241.6949375,196
11677389,11677548,243.2789375,243.28225,159
11694147,11694292,243.6280625,243.63108333333332,145
11694358,11694544,243.63245833333335,243.63633333333334,186
11712406,11712551,244.00845833333332,244.01147916666667,145
11713719,11713864,244.0358125,244.03883333333334,145
11714018,11714164,244.04204166666668,244.04508333333334,146
11722165,11722310,244.21177083333333,244.21479166666666,145
11729315,11729461,244.36072916666666,244.36377083333332,146
11729622,11729767,244.367125,244.37014583333334,145
11740622,11740836,244.59629166666667,244.60075,214
11742109,11742254,244.62727083333334,244.63029166666666,145
11742425,11742570,244.63385416666668,244.636875,145
11746164,11746309,244.71175,244.71477083333335,145
11746345,11746611,244.71552083333333,244.7210625,266
11749850,11749996,244.78854166666667,244.79158333333334,146
11752664,11752809,244.84716666666668,244.8501875,145
11752905,11753050,244.8521875,244.85520833333334,145
11753085,11753350,244.8559375,244.86145833333333,265
11753386,11753531,244.86220833333334,244.86522916666667,145
11753988,11754134,244.87475,244.87779166666667,146
11754289,11754555,244.88102083333334,244.8865625,266
11754650,11754856,244.88854166666667,244.89283333333333,206
11754951,11755102,244.8948125,244.89795833333332,151
11762748,11762893,245.05725,245.06027083333333,145
11767098,11767391,245.147875,245.15397916666666,293
11771496,11771800,245.2395,245.24583333333334,304
11777911,11778056,245.37314583333333,245.37616666666668,145
11784215,11784420,245.50447916666667,245.50875,205
11784482,11784656,245.51004166666667,245.51366666666667,174
11784748,11784893,245.51558333333332,245.51860416666668,145
11787717,11787862,245.5774375,245.58045833333333,145
11798238,11798383,245.796625,245.79964583333333,145
11798537,11798712,245.80285416666666,245.8065,175
11818824,11818969,246.2255,246.22852083333333,145
11819245,11819390,246.23427083333334,246.23729166666666,145
11843542,11843688,246.74045833333332,246.7435,146
11861605,11861776,247.11677083333333,247.12033333333332,171
11865221,11865366,247.19210416666667,247.195125,145
11865526,11865671,247.19845833333332,247.20147916666667,145
11888204,11888426,247.67091666666667,247.67554166666667,222
11888537,11888734,247.67785416666666,247.68195833333334,197
11888955,11889125,247.6865625,247.69010416666666,170
11890355,11890500,247.71572916666668,247.71875,145
11890901,11891245,247.72710416666666,247.73427083333334,344
11895484,11895654,247.82258333333334,247.826125,170
11895972,11896237,247.83275,247.83827083333333,265
11897789,11897983,247.87060416666668,247.87464583333335,194
11899090,11899377,247.89770833333333,247.9036875,287
11899534,11899679,247.90695833333334,247.90997916666666,145
11901335,11901480,247.94447916666667,247.9475,145
11902784,11902929,247.97466666666668,247.9776875,145
11906727,11906872,248.0568125,248.05983333333333,145
11907706,11907858,248.07720833333335,248.080375,152
11908015,11908160,248.08364583333332,248.08666666666667,145
11908265,11908432,248.08885416666666,248.09233333333333,167
11909011,11909264,248.10439583333334,248.10966666666667,253
11916996,11917141,248.27075,248.27377083333334,145
11917255,11917400,248.27614583333335,248.27916666666667,145
11917586,11917826,248.28304166666666,248.28804166666666,240
11917855,11918000,248.28864583333333,248.29166666666666,145
11918533,11918802,248.30277083333334,248.308375,269
11919033,11919185,248.3131875,248.31635416666666,152
11920304,11920631,248.33966666666666,248.34647916666665,327
11921312,11921457,248.36066666666667,248.3636875,145
11923635,11923837,248.4090625,248.41327083333334,202
11925133,11925370,248.44027083333333,248.44520833333334,237
11925481,11925729,248.44752083333333,248.4526875,248
11925938,11926085,248.45704166666667,248.46010416666667,147
11926139,11926285,248.46122916666667,248.46427083333333,146
11926326,11926472,248.465125,248.46816666666666,146
11926689,11926834,248.4726875,248.47570833333333,145
11927484,11927629,248.48925,248.49227083333332,145
11928755,11928900,248.51572916666666,248.51875,145
11936506,11936651,248.67720833333334,248.68022916666666,145
11938269,11938415,248.7139375,248.71697916666668,146
12030103,12030248,250.62714583333334,250.63016666666667,145
12070827,12070972,251.4755625,251.47858333333335,145
12211099,12211380,254.39789583333334,254.40375,281
12215544,12215689,254.4905,254.49352083333332,145
12215747,12215893,254.49472916666667,254.49777083333333,146
12215951,12216096,254.49897916666666,254.502,145
12216154,12216451,254.50320833333333,254.50939583333334,297
12227618,12227763,254.74204166666667,254.7450625,145
12241010,12241155,255.02104166666666,255.0240625,145
12257920,12258065,255.37333333333333,255.37635416666666,145
12258778,12258923,255.39120833333334,255.39422916666666,145
12259030,12259175,255.39645833333333,255.39947916666668,145
12259226,12259579,255.40054166666667,255.40789583333333,353
12259630,12259832,255.40895833333335,255.41316666666665,202
12264663,12265036,255.5138125,255.52158333333333,373
12265166,12265364,255.52429166666667,255.52841666666666,198
12265410,12265694,255.529375,255.53529166666667,284
12265878,12266199,255.539125,255.5458125,321
14050599,14050760,292.7208125,292.7241666666667,161
14050825,14050988,292.72552083333335,292.7289166666667,163
14051071,14051222,292.7306458333333,292.73379166666666,151
14051912,14052058,292.7481666666667,292.75120833333335,146
14052107,14052474,292.75222916666667,292.759875,367
14052555,14052806,292.7615625,292.7667916666667,251
14078650,14078800,293.3052083333333,293.30833333333334,150
14105757,14105962,293.8699375,293.87420833333334,205
14106174,14106438,293.878625,293.884125,264
14106709,14106972,293.88977083333333,293.89525,263
